   1    0    1  n      0.0      0.0  
  33   23   56 V    8574.191    3.159
  32   24   56 Cr   8723.258    0.011
  31   25   56 Mn   8738.333    0.006
  30   26   56 Fe   8790.354    0.005
  29   27   56 Co   8694.836    0.009
  28   28   56 Ni   8642.779    0.008
  27   29   56 Cu   8356.227    0.266
  26   30   56 Zn   8106       1000       7       1000   
  25   31   56 Ga   7699       1000       9       1000   
  37   20   57 Ca   7917       1000       7       1000   
  36   21   57 Sc   8151.433   22.879
  35   22   57 Ti   8364.370    4.499
  34   23   57 V    8534.817    1.412
  33   24   57 Cr   8663.394    0.019
  32   25   57 Mn   8736.713    0.026
  31   26   57 Fe   8770.279    0.005
  30   27   57 Co   8741.882    0.009
  29   28   57 Ni   8670.933    0.010
  28   29   57 Cu   8503.262    0.009
  27   30   57 Zn   8231       1000       4       1000   
  26   31   57 Ga   7909       1000       7       1000   
  38   20   58 Ca   7835       1000       9       1000   
  37   21   58 Sc   8045       1000       7       1000   
  36   22   58 Ti   8311       1000       3       1000   
  35   23   58 V    8457.658    1.541
  34   24   58 Cr   8643.998    0.026
  33   25   58 Mn   8696.643    0.047
  32   26   58 Fe   8792.250    0.006
  31   27   58 Co   8738.969    0.020
  30   28   58 Ni   8732.059    0.006
  29   29   58 Cu   8570.967    0.010
  28   30   58 Zn   8395.944    0.862
  27   31   58 Ga   8059       1000       5       1000   
  26   32   58 Ge   7762       1000       9       1000   
  38   21   59 Sc   7967       1000       7       1000   
  37   22   59 Ti   8212       1000       3       1000   
  36   23   59 V    8407.555    2.744
  35   24   59 Cr   8568.087    3.667
  34   25   59 Mn   8680.921    0.039
  33   26   59 Fe   8754.771    0.006
  32   27   59 Co   8768.035    0.007
  31   28   59 Ni   8736.588    0.006
  30   29   59 Cu   8642.000    0.009
  29   30   59 Zn   8473.777    0.013
  28   31   59 Ga   8232       1000       3       1000   
  27   32   59 Ge   7916       1000       7       1000   
  39   21   60 Sc   7865       1000       8       1000   
  38   22   60 Ti   8157       1000       5       1000   
  37   23   60 V    8325.450    3.669
  36   24   60 Cr   8536.205    3.227
  35   25   60 Mn   8628.138    0.039
  34   26   60 Fe   8755.851    0.057
  33   27   60 Co   8746.766    0.007
  32   28   60 Ni   8780.774    0.006
  31   29   60 Cu   8665.602    0.027
  30   30   60 Zn   8583.050    0.009
  29   31   60 Ga   8327       1000       3       1000   
  28   32   60 Ge   8106       1000       5       1000   
  27   33   60 As   7732       1000       7       1000   
  40   21   61 Sc   7787       1000      10       1000   
  39   22   61 Ti   8057       1000       7       1000   
  38   23   61 V    8276.439   14.660
  37   24   61 Cr   8459.824    1.661
  36   25   61 Mn   8598.915    0.038
  35   26   61 Fe   8703.768    0.043
  34   27   61 Co   8756.148    0.014
  33   28   61 Ni   8765.025    0.006
  32   29   61 Cu   8715.514    0.016
  31   30   61 Zn   8610.309    0.261
  30   31   61 Ga   8446.431    0.623
  29   32   61 Ge   8208       1000       5       1000   
  28   33   61 As   7925       1000       5       1000   
  40   22   62 Ti   7995       1000       6       1000   
  39   23   62 V    8192       1000       5       1000   
  38   24   62 Cr   8428.069    2.389
  37   25   62 Mn   8538.499    0.106
  36   26   62 Fe   8692.882    0.045
  35   27   62 Co   8721.332    0.300
  34   28   62 Ni   8794.553    0.007
  33   29   62 Cu   8718.081    0.010
  32   30   62 Zn   8679.343    0.010
  31   31   62 Ga   8518.642    0.010
  30   32   62 Ge   8341       1000       2       1000   
  29   33   62 As   8047       1000       5       1000   
  41   22   63 Ti   7889       1000       8       1000   
  40   23   63 V    8133       1000       6       1000   
  39   24   63 Cr   8344.828    5.684
  38   25   63 Mn   8505.101    0.059
  37   26   63 Fe   8631.549    0.068
  36   27   63 Co   8717.795    0.295
  35   28   63 Ni   8763.493    0.007
  34   29   63 Cu   8752.138    0.007
  33   30   63 Zn   8686.285    0.025
  32   31   63 Ga   8583.926    0.021
  31   32   63 Ge   8418.716    0.591
  30   33   63 As   8193       1000       3       1000   
  42   22   64 Ti   7818       1000       9       1000   
  41   23   64 V    8045       1000       6       1000   
  40   24   64 Cr   8301.058    6.870
  39   25   64 Mn   8437.417    0.055
  38   26   64 Fe   8612.388    0.078
  37   27   64 Co   8675.520    0.313
  36   28   64 Ni   8777.461    0.007
  35   29   64 Cu   8739.075    0.007
  34   30   64 Zn   8735.905    0.010
  33   31   64 Ga   8611.631    0.022
  32   32   64 Ge   8528.823    0.058
  31   33   64 As   8286       1000       3       1000   
  30   34   64 Se   8073       1000       8       1000   
  42   23   65 V    7976       1000       8       1000   
  41   24   65 Cr   8217       1000       5       1000   
  40   25   65 Mn   8400.681    0.057
  39   26   65 Fe   8546.346    0.079
  38   27   65 Co   8656.884    0.032
  37   28   65 Ni   8736.240    0.008
  36   29   65 Cu   8757.096    0.010
  35   30   65 Zn   8724.265    0.010
  34   31   65 Ga   8662.160    0.013
  33   32   65 Ge   8555.058    0.033
  32   33   65 As   8396.234    1.304
  31   34   65 Se   8170       1000       5       1000   
  43   23   66 V    7884       1000       8       1000   
  42   24   66 Cr   8161       1000       6       1000   
  41   25   66 Mn   8331.798    0.169
  40   26   66 Fe   8521.724    0.062
  39   27   66 Co   8605.941    0.212
  38   28   66 Ni   8739.508    0.021
  37   29   66 Cu   8731.472    0.010
  36   30   66 Zn   8759.632    0.011
  35   31   66 Ga   8669.361    0.017
  34   32   66 Ge   8625.437    0.036
  33   33   66 As   8468.403    0.086
  32   34   66 Se   8300       1000       3       1000   
  44   23   67 V    7812       1000       9       1000   
  43   24   67 Cr   8070       1000       6       1000   
  42   25   67 Mn   8279       1000       4       1000   
  41   26   67 Fe   8448.469    4.034
  40   27   67 Co   8581.741    0.096
  39   28   67 Ni   8695.750    0.043
  38   29   67 Cu   8737.458    0.013
  37   30   67 Zn   8734.152    0.011
  36   31   67 Ga   8707.531    0.018
  35   32   67 Ge   8632.857    0.070
  34   33   67 As   8530.568    0.007
  33   34   67 Se   8369.534    1.001
  32   35   67 Br   8152       1000       6       1000   
  44   24   68 Cr   8013       1000       7       1000   
  43   25   68 Mn   8201       1000       6       1000   
  42   26   68 Fe   8411.698    5.371
  41   27   68 Co   8524.366    2.787
  40   28   68 Ni   8682.466    0.044
  39   29   68 Cu   8701.890    0.023
  38   30   68 Zn   8755.680    0.012
  37   31   68 Ga   8701.218    0.021
  36   32   68 Ge   8688.136    0.028
  35   33   68 As   8557.745    0.027
  34   34   68 Se   8477.047    0.007
  33   35   68 Br   8239       1000       4       1000   
  45   24   69 Cr   7924       1000       7       1000   
  44   25   69 Mn   8147       1000       6       1000   
  43   26   69 Fe   8342       1000       6       1000   
  42   27   69 Co   8493.865    2.036
  41   28   69 Ni   8623.099    0.054
  40   29   69 Cu   8695.204    0.020
  39   30   69 Zn   8722.729    0.012
  38   31   69 Ga   8724.579    0.017
  37   32   69 Ge   8680.963    0.019
  36   33   69 As   8611.821    0.464
  35   34   69 Se   8503.707    0.022
  34   35   69 Br   8344.902    0.609
  33   36   69 Kr   8133       1000       6       1000   
  46   24   70 Cr   7867       1000       9       1000   
  45   25   70 Mn   8070       1000       7       1000   
  44   26   70 Fe   8302       1000       6       1000   
  43   27   70 Co   8436       1000       4       1000   
  42   28   70 Ni   8604.291    0.031
  41   29   70 Cu   8646.865    0.015
  40   30   70 Zn   8729.808    0.027
  39   31   70 Ga   8709.280    0.017
  38   32   70 Ge   8721.700    0.012
  37   33   70 As   8621.666    0.714
  36   34   70 Se   8576.033    0.023
  35   35   70 Br   8414.796    0.213
  34   36   70 Kr   8256       1000       3       1000   
  46   25   71 Mn   8015       1000       7       1000   
  45   26   71 Fe   8227       1000       6       1000   
  44   27   71 Co   8398.734    6.550
  43   28   71 Ni   8543.156    0.032
  42   29   71 Cu   8635.022    0.021
  41   30   71 Zn   8689.041    0.037
  40   31   71 Ga   8717.604    0.011
  39   32   71 Ge   8703.309    0.012
  38   33   71 As   8663.932    0.059
  37   34   71 Se   8586.060    0.039
  36   35   71 Br   8481.462    0.076
  35   36   71 Kr   8327.130    1.814
  34   37   71 Rb   8115       1000       6       1000   
  47   25   72 Mn   7937       1000       8       1000   
  46   26   72 Fe   8184       1000       7       1000   
  45   27   72 Co   8336       1000       6       1000   
  44   28   72 Ni   8520.211    0.031
  43   29   72 Cu   8586.525    0.019
  42   30   72 Zn   8691.805    0.030
  41   31   72 Ga   8687.089    0.011
  40   32   72 Ge   8731.745    0.001
  39   33   72 As   8660.378    0.057
